Phase,Phi1,Phi,Phi2,KAM,Y,X
1,73.68474,123.65067,11.49142,0,0,0
1,75.90216,129.96879,45.39437,16.60456,1,0
1,83.17591,130.92453,47.34645,0,2,0
1,86.02895,132.20883,47.43793,1.537117,3,0
1,88.68023,133.9924,48.2657,1.404961,4,0
1,87.55427,133.62134,47.45277,0.4469552,5,0
1,89.72609,134.95813,48.29873,1.078568,6,0
1,88.34725,134.10023,46.36869,0.8107927,7,0
1,88.91004,133.7324,47.22135,0.3582486,8,0
1,88.40701,133.44497,46.14853,0.430824,9,0
1,88.30043,132.48255,45.91794,0.4892081,10,0
1,88.09079,133.43984,46.78515,0.7000365,11,0
1,87.96579,132.82167,46.21528,0.3953145,12,0
1,99.72,84.95918,14.94257,0,13,0
1,98.2118,83.69875,15.54283,1.005561,14,0
1,97.95773,86.34021,16.56722,1.41826,15,0
1,108.30271,70.18996,1.31422,0,16,0
1,105.58834,71.53315,0.49149,1.681721,17,0
1,104.92515,72.60522,359.48559,0.867713,18,0
1,102.92971,71.31812,357.90105,1.589558,19,0
1,102.30088,72.1549,358.19989,0.5165088,20,0
1,102.93783,71.02728,358.47486,0.6825362,21,0
1,101.75718,72.61927,358.10108,1.04203,22,0
1,98.2513,72.82801,357.59984,1.845918,23,0
1,94.6875,74.53967,356.5872,2.161159,24,0
1,93.45965,74.38393,356.27888,0.67634,25,0
1,98.06943,71.86032,357.49168,2.84305,26,0
1,94.80649,74.18198,355.56835,2.4186,27,0
1,94.27657,74.08202,355.79199,0.2626803,28,0
1,93.10997,74.0846,355.32782,0.6843594,29,0
1,89.80004,74.36837,354.33157,1.858842,30,0
1,83.04458,157.63607,36.03452,0,31,0
1,84.14784,156.01663,32.85125,2.259957,32,0
1,84.39728,154.64253,31.99147,0.8774012,33,0
1,81.82335,153.78093,30.44743,0.8053454,34,0
1,101.45653,150.13768,44.78258,0,35,0
1,102.17191,149.7192,44.23224,0.646377,36,0
1,107.09615,152.75134,49.57655,1.99019,37,0
1,111.05053,150.72714,51.08073,1.696783,38,0
1,109.10247,152.24607,51.54892,1.407474,39,0
1,109.68724,152.96144,51.92569,0.3887296,40,0
1,99.66487,44.55125,4.91804,0,41,0
1,98.43621,44.24384,3.24299,1.355622,42,0
1,97.95349,43.69252,3.5509,0.3231961,43,0
1,97.98534,42.83459,3.0358,0.4945924,44,0
1,98.5682,43.90345,2.72437,0.5734209,45,0
1,97.68787,43.73867,2.96479,0.3723339,46,0
1,101.58329,43.54927,2.67996,1.849697,47,0
1,103.59855,41.8559,2.81699,1.355831,48,0
1,106.11046,43.68237,3.04642,1.623572,49,0
1,112.33238,42.92789,2.79292,0,50,0
1,70.85109,146.73965,359.49684,0,51,0
1,71.26474,145.93913,0.27091,0.4685394,52,0
1,71.59546,145.9474,1.22967,0.3547087,53,0
1,73.68298,145.5341,1.42437,0.9867384,54,0
1,73.60115,146.25823,2.07,0.5087677,55,0
1,73.80658,146.24029,1.7782,0.2384088,56,0
1,73.53464,145.74047,1.48155,0.263648,57,0
1,73.71126,146.25437,1.28747,0.3121674,58,0
1,76.66471,146.23657,2.03977,1.182632,59,0
1,76.33274,145.67196,2.70702,0.5570669,60,0
1,76.98365,146.04752,2.62002,0.4080534,61,0
1,77.46239,145.57651,2.27717,0.4582917,62,0
1,77.87826,145.20796,2.27638,0.278082,63,0
1,76.93538,144.49396,2.24694,0.581868,64,0
1,77.87431,144.64884,2.69211,0.3250278,65,0
1,76.94523,144.08984,2.68961,0.5412673,66,0
1,77.99008,144.96345,3.28121,0.5472799,67,0
1,79.04434,144.04669,5.12063,0.7378197,68,0
1,78.39422,144.8073,3.9256,0.5397619,69,0
1,78.94354,145.14529,4.88224,0.342952,70,0
1,74.53356,146.25763,0.98183,1.367024,71,0
1,89.05321,104.55934,8.74985,0,72,0
1,90.24561,105.51153,11.33237,1.360125,73,0
1,88.98967,105.22657,11.92874,0.776414,74,0
1,87.15133,102.91228,12.19017,1.50308,75,0
1,84.19605,100.74782,10.48307,1.88826,76,0
1,88.64833,106.67059,12.52016,3.698907,77,0
1,89.38209,107.27192,14.657,1.066612,78,0
1,92.04702,107.81114,16.11461,1.339337,79,0
1,90.04086,106.41306,15.91417,1.202353,80,0
1,91.22365,107.24207,16.72706,0.7399819,81,0
1,87.85363,104.37319,16.4406,2.18753,82,0
1,86.07488,104.4932,17.80976,1.251682,83,0
1,29.06712,57.39097,31.46942,0,84,0
1,86.36509,38.17851,46.61238,0,85,0
1,90.85488,39.88339,45.18024,1.944459,86,0
1,90.17444,40.30383,48.56479,1.463838,87,0
1,93.61263,38.90599,46.56615,1.339722,88,0
1,95.91202,39.24193,45.43667,0.8128975,89,0
1,98.27168,39.5165,43.38874,0.7691842,90,0
1,98.95787,40.25872,39.93813,1.524352,91,0
1,98.34818,38.76654,40.59349,0.7764068,92,0
1,100.46297,38.00247,40.67652,1.15523,93,0
1,101.0508,37.46355,41.92877,0.9176641,94,0
1,101.87534,40.0584,41.12566,1.325242,95,0
1,102.00304,37.59446,40.64372,1.247361,96,0
1,105.53923,36.56478,39.55265,1.466165,97,0
1,47.41052,157.7124,13.66627,0,98,0
1,41.33656,158.68875,9.27402,1.377725,99,0
1,42.65148,159.39061,9.37348,0.7048463,100,0
1,45.33171,159.75425,11.95548,0.5030058,101,0
1,43.96755,160.32856,10.57875,0.3726692,102,0
1,41.01966,160.95056,6.32052,0.9384469,103,0
1,37.57522,160.66786,4.41811,0.8924558,104,0
1,36.76117,160.88285,5.11851,0.7543486,105,0
1,41.38767,160.31168,9.6913,0.8261937,106,0
1,101.21999,91.20201,40.22929,0,107,0
1,98.58081,90.29838,39.60065,1.425953,108,0
1,100.07373,89.70901,39.24818,0.8216524,109,0
1,98.46503,89.71373,38.56396,0.8756676,110,0
1,99.32874,89.55294,39.08912,0.5131889,111,0
1,98.32147,89.81392,39.36949,0.5380951,112,0
1,98.40788,89.75843,39.23751,0.08348498,113,0
1,97.18965,90.04907,39.514,0.6410674,114,0
1,97.12544,90.52838,39.72571,0.2640163,115,0
1,96.78823,90.39208,39.85143,0.1928539,116,0
1,96.04456,91.0893,40.10171,0.5259766,117,0
1,94.55209,91.67621,40.54456,0.8366465,118,0
1,93.35456,93.05576,40.98333,0.9451282,119,0
1,93.59278,92.8933,41.03358,0.1452799,120,0
1,93.66957,92.44182,40.65798,0.2972779,121,0
1,78.73613,123.17829,10.69928,0,0,1
1,77.23461,124.45489,10.58765,0.9630738,1,1
1,83.01422,132.2156,45.53583,1.07036,2,1
1,85.42564,133.26441,46.93765,1.668688,3,1
1,87.20061,133.56567,47.56921,1.09579,4,1
1,88.07632,133.5925,48.59743,0.6475386,5,1
1,87.95002,135.04875,47.23623,1.186645,6,1
1,88.42082,134.38442,47.5253,0.7470434,7,1
1,87.87911,133.71617,47.1794,0.755409,8,1
1,88.52367,133.54932,47.25825,0.5263942,9,1
1,86.12433,131.73734,46.15508,1.973576,10,1
1,87.71823,132.94771,46.70469,0.9242644,11,1
1,85.94287,133.33701,46.07419,1.302796,12,1
1,88.83673,132.88936,47.62842,1.08085,13,1
1,108.56634,69.92407,0.675,0,14,1
1,106.49396,70.23408,0.5994,1.06105,15,1
1,104.47148,72.72585,358.88431,3.222742,16,1
1,102.54802,73.13677,358.10451,3.744406,17,1
1,104.00604,72.74814,358.47286,1.594904,18,1
1,103.3721,71.9805,358.37979,1.066923,19,1
1,102.60748,70.992,358.41497,0.772018,20,1
1,100.06217,72.12905,357.59135,2.266371,21,1
1,97.84549,71.44507,356.68804,3.339401,22,1
1,95.21738,73.04306,356.60555,3.425536,23,1
1,95.43278,73.88704,356.72071,1.317034,24,1
1,97.50935,73.39309,357.953,2.819499,25,1
1,94.56949,73.01947,356.06178,2.499736,26,1
1,94.54874,73.97258,355.89961,1.53669,27,1
1,92.15269,73.68873,355.29846,1.942759,28,1
1,91.12914,74.20614,355.01322,1.69639,29,1
1,82.85477,158.03167,34.45877,0,30,1
1,85.16616,154.88923,32.81195,3.6341,31,1
1,84.03724,155.39224,32.74675,1.646246,32,1
1,84.73079,155.08187,32.56398,0.6793565,33,1
1,102.32132,150.10705,46.30575,0,34,1
1,104.24775,149.6153,46.49171,1.162701,35,1
1,103.35008,149.9436,45.75798,0.6358978,36,1
1,109.5235,151.04116,50.2427,2.441361,37,1
1,110.28979,152.84699,52.26899,1.648899,38,1
1,105.53959,151.59292,46.77177,2.031606,39,1
1,108.16088,151.83114,51.42133,1.292522,40,1
1,100.23555,44.29574,4.05205,0.3297688,41,1
1,98.84483,43.26613,3.15032,1.538341,42,1
1,98.44757,42.74251,3.04396,0.8108022,43,1
1,98.06607,43.65273,2.85049,0.62817,44,1
1,98.52274,43.53391,2.71124,0.3884797,45,1
1,97.97622,43.75303,2.43329,0.5057176,46,1
1,99.31715,43.85181,3.358,1.476815,47,1
1,102.14175,43.75451,3.1307,1.474313,48,1
1,103.51844,44.04656,3.71899,1.601425,49,1
1,105.50045,46.60282,7.06653,3.404967,50,1
1,71.18831,147.44464,0.44545,0.4933233,51,1
1,70.84713,146.12692,0.20879,0.6716363,52,1
1,73.14303,145.96261,1.4498,0.9853603,53,1
1,74.70847,145.78119,1.9328,1.122905,54,1
1,72.28484,145.89009,1.21117,1.001691,55,1
1,73.94185,146.0915,1.84233,0.4869452,56,1
1,74.29145,145.98129,1.30062,0.6903148,57,1
1,75.15748,145.78583,1.48539,0.9340965,58,1
1,76.17797,145.96578,2.43041,0.7905284,59,1
1,77.51629,145.85224,2.55143,0.8035729,60,1
1,76.67519,145.92418,2.22637,0.4211958,61,1
1,77.68883,145.46429,3.2712,0.5740031,62,1
1,77.29729,145.39138,1.60638,0.5901258,63,1
1,77.23607,144.92915,1.99315,0.4608504,64,1
1,76.19308,144.42341,1.67287,0.6120163,65,1
1,76.51834,144.43145,2.03036,0.4163561,66,1
1,78.07508,144.22185,2.93242,0.7013737,67,1
1,78.65247,144.62699,4.56071,0.7095136,68,1
1,78.94012,144.34977,4.94484,0.3696636,69,1
1,77.07263,144.76341,4.47157,1.239452,70,1
1,87.36925,101.02698,7.47668,0,71,1
1,90.2156,100.61751,7.53475,2.407353,72,1
1,90.29106,100.75298,7.94991,2.602035,73,1
1,88.40934,101.42285,8.91291,3.015028,74,1
1,87.02619,102.32993,10.01444,2.031458,75,1
1,85.60207,101.97666,11.32882,1.487065,76,1
1,85.49423,103.10972,11.07881,2.14775,77,1
1,88.78863,105.8889,13.30108,1.862392,78,1
1,89.32766,105.51524,14.31427,1.621067,79,1
1,89.76372,106.25376,16.20395,1.307806,80,1
1,89.9591,104.84208,15.86938,1.446648,81,1
1,88.27105,106.23638,16.73864,1.88868,82,1
1,85.203,100.85504,13.19369,4.419073,83,1
1,86.08988,102.46484,12.03877,2.794703,84,1
1,83.61152,41.8061,50.47263,2.199121,85,1
1,93.89139,39.04347,43.48743,3.743593,86,1
1,95.20576,40.02903,43.76904,2.154368,87,1
1,97.95405,40.02078,41.83522,2.534557,88,1
1,99.1065,40.4529,42.68227,2.043615,89,1
1,97.66421,40.57177,42.41567,1.475413,90,1
1,96.94014,39.92832,42.74948,1.145893,91,1
1,98.50017,37.49384,43.10934,2.486059,92,1
1,99.61183,38.8205,42.68886,1.600762,93,1
1,102.56376,39.1875,39.7003,1.531676,94,1
1,100.57602,39.15771,42.50722,1.1991,95,1
1,101.79961,37.83441,40.39363,1.191947,96,1
1,105.74197,42.15684,36.8105,4.110601,97,1
1,52.03327,160.18278,17.01801,1.563539,98,1
1,46.65489,157.57405,12.19508,1.78146,99,1
1,41.3715,157.86576,8.16319,1.300291,100,1
1,44.49249,159.1122,10.16704,1.077696,101,1
1,38.26264,159.69083,5.8006,1.831591,102,1
1,36.01301,160.51662,3.10791,1.554383,103,1
1,35.77774,160.54653,4.09865,1.493466,104,1
1,45.13895,160.48545,11.38929,2.311038,105,1
1,102.04779,91.17054,39.93327,0,106,1
1,99.54045,90.42242,39.71512,1.512686,107,1
1,99.47873,90.99661,40.14772,0.9333656,108,1
1,99.21313,90.08175,38.76464,0.9513055,109,1
1,99.33123,90.15288,39.64856,0.8259507,110,1
1,98.73929,89.34241,39.12522,0.6220407,111,1
1,98.64265,89.80792,39.32822,0.4023096,112,1
1,97.69109,89.62545,39.10367,0.6120747,113,1
1,97.35142,90.0343,39.23969,0.4898035,114,1
1,97.50324,89.73497,39.64979,0.4691543,115,1
1,95.93894,90.60141,39.83453,0.9669285,116,1
1,95.31604,90.87782,40.1842,0.7807527,117,1
1,94.30147,90.43232,40.20433,1.071963,118,1
1,94.57712,91.55953,40.72942,0.8615819,119,1
1,93.13157,93.04744,41.2359,0.7576819,120,1
1,94.51156,92.94606,41.43927,0.9010667,121,1
1,73.07596,123.21233,10.53312,2.785522,0,2
1,77.98261,125.19275,11.07252,2.06168,1,2
1,82.20931,132.66079,45.69253,0.51011,2,2
1,85.28521,132.42406,46.72447,1.272151,3,2
1,87.1442,134.99396,48.61903,1.734667,4,2
1,87.71568,133.90122,47.87314,0.6906296,5,2
1,88.38943,133.77976,47.4918,0.9118324,6,2
1,87.52068,132.67201,46.50209,1.412019,7,2
1,88.12285,133.49354,46.73548,0.6773803,8,2
1,88.5481,133.33488,47.27466,0.3395932,9,2
1,87.80139,132.63538,46.17498,1.041381,10,2
1,87.76057,133.99414,46.14978,1.336871,11,2
1,87.16547,131.08466,45.23338,2.032935,12,2
1,87.87418,131.43435,44.59102,1.957599,13,2
1,113.17182,69.80819,4.27204,3.374948,14,2
1,109.63788,71.25934,2.68412,2.973036,15,2
1,108.96024,72.73903,2.49786,3.13936,16,2
1,106.21211,72.79903,0.54707,2.882173,17,2
1,103.91258,73.76875,359.19618,1.612415,18,2
1,103.45036,72.3687,357.48388,1.160869,19,2
1,98.6514,71.81722,356.51817,3.94188,20,2
1,98.81624,71.98747,356.73134,1.698089,21,2
1,97.23987,74.3028,356.84467,2.375924,22,2
1,95.74137,73.90541,356.92811,1.4584,23,2
1,94.83575,74.24602,357.04676,0.7353184,24,2
1,95.6724,74.41171,356.6323,1.039035,25,2
1,95.13052,73.6304,357.29637,1.334588,26,2
1,92.16035,73.36551,355.62348,2.239132,27,2
1,93.15238,74.64746,356.57515,1.401757,28,2
1,83.94024,157.27682,34.4986,0,29,2
1,84.94038,156.05654,33.64501,1.885756,30,2
1,81.77214,155.09597,31.1161,1.862059,31,2
1,83.31221,155.51623,32.1579,0.6537139,32,2
1,106.03515,149.07005,47.64884,0,33,2
1,107.24496,150.3262,51.03588,1.741344,34,2
1,105.83324,150.96906,48.63976,1.326583,35,2
1,106.3056,150.9203,49.78776,1.323622,36,2
1,83.874,154.93263,31.07834,0,37,2
1,109.95999,150.58032,52.53322,1.438177,38,2
1,107.69946,150.03192,52.36653,2.557666,39,2
1,100.02735,44.8913,5.35867,0,40,2
1,99.04582,44.21228,3.62515,1.381759,41,2
1,101.22806,43.44516,2.76425,1.299991,42,2
1,98.33134,42.80187,2.58572,1.188709,43,2
1,99.13045,43.38577,2.86731,0.7861195,44,2
1,98.22678,43.21526,2.64434,0.5054587,45,2
1,98.61669,43.02296,2.43658,0.4662561,46,2
1,97.89448,43.85733,3.03089,0.7997391,47,2
